"Dmel","Species","Total","Retroelements","LINEs","SINEs","Penelope","LTR","DNA_transposons","Pao","Copia","Gypsy","SpeciesName"
0.22,"Dmelc",6.63,2.09,1.32,0,0,0.76,4.39,0,0.01,0.04,"D.melanocephala"
7.46,"Dmel",17.64,14.94,4.64,0,0,10.3,2.66,0.01,0.47,4.51,"D.melanogaster"
0.18,"Dmels",3.74,0.92,0.37,0,0,0.55,2.81,0,0,0.08,"D.melanosoma"
1.49,"Dmerc",18.02,14.49,11.2,0,0,3.29,3.32,0.08,0.01,1.33,"D.mercatorum"
4.99,"Dmerin",33.23,31.08,16.73,0,0,14.35,2.04,0.07,0.67,4.42,"D.merina"
1.95,"Dmeri",17.09,10.81,2.34,0,0,8.47,6.14,0.25,0.42,2.72,"D.meridionalis"
2.91,"Dmer",22.02,16.65,6.07,0,0,10.58,5.2,0.33,0.37,4.44,"D.meridiana"
0.53,"Dmet",11.07,7.21,1.1,0,0,6.11,3.78,0,0,0.5,"D.mettleri"
0.26,"Dmimi",9.61,5.04,1.11,0,0,3.94,4.48,0,0.01,0.57,"D.mimica"
1.44,"Dmim",20.9,12.71,4.21,0,0,8.5,7.96,0.21,0.15,3.68,"D.mimetica"
4.1,"Dmir",45.76,42.71,20.12,0,0,22.59,2.1,0.12,0.59,10.91,"D.miranda"
0.87,"Dmoj",12.8,8.57,4.59,0,0,3.98,4.04,0.01,0.24,1.66,"D.mojavensis"
2.73,"Dmon",28.56,23.15,9.64,0,0,13.51,4.1,0.84,0.13,5.9,"D.monieri"
1.31,"Dmul",15.37,9.88,1.12,0,0,8.76,5.36,0.31,0.35,4.26,"D.mulleri"
0.15,"Dmult",3.92,1.75,0.51,0,0,1.24,2.15,0,0.03,0.12,"D.multiciliata"
0.38,"Dmur",5.98,3.39,1.77,0,0,1.62,2.53,0.18,0.17,0.75,"D.murphyi"
0.01,"Dnan",0.82,0.03,0.02,0,0,0.01,0.78,0,0,0,"D.nannoptera"
1.76,"Dnas",16.95,9.77,1.7,0,0,8.08,7.07,0.02,0.02,3.04,"D.nasuta"
1.85,"Dneb",14.55,4.67,1.59,0,0,3.08,9.67,0,0.08,1.04,"D.nebulosa"
3.16,"Dneo",25.13,16.44,4.23,0,0,12.21,8.4,0.38,0.04,4.83,"D.neocordata"
0.87,"Dneot",13.17,6.95,4.04,0,0,2.91,5.72,0,0.02,0.89,"D.neotestacea"
0.48,"Dneu",10.75,7.17,2.23,0,0,4.94,3.54,0.06,0.17,1.53,"D.neutralis"
0.17,"Dnigri",5.49,2.51,0.86,0,0,1.65,2.82,0.05,0,0.23,"D.nigritarsus"
2.79,"Dnig",20.72,11.15,1.4,0,0,9.75,9.24,0.01,0,4.24,"D.nigricruria"
1.27,"Dnigro",11.09,7.08,2.61,0,0,4.47,3.96,0.06,0.09,1.99,"D.nigrodunni"
0.54,"Dniv",7.79,4.74,3.59,0,0,1.14,2.89,0,0,0.71,"D.niveifrons"
2.16,"Dnov",20.82,15.6,7.43,0,0,8.18,4.25,0.21,0.09,2.94,"D.novamexicana"
0.21,"Dnrf",5.74,2.36,1.26,0,0,1.1,3.35,0,0.01,0.26,"D.nrfundita"
0.26,"Dnrm",7.1,3.87,1.18,0,0,2.69,3.17,0.04,0.29,0.4,"D.nrmedialis2"
0.26,"Dnrm",7.1,3.87,1.18,0,0,2.69,3.17,0.04,0.29,0.4,"D.nrmedialis3"
0.19,"Dnrp",6.99,1.58,0.83,0,0,0.75,5.31,0.03,0,0.16,"D.nrperissopoda1"
0.19,"Dnrp",6.99,1.58,0.83,0,0,0.75,5.31,0.03,0,0.16,"D.nrperissopoda5"
1.9,"Dobs",27.24,21.02,7.28,0,0,13.74,5.89,0.02,0.32,6.06,"D.obscura"
0.22,"Doch",4.62,1.47,0.72,0,0,0.74,3.1,0.02,0.09,0.09,"D.ochracea"
9.45,"Dore",26.18,22.53,3.51,0,0,19.02,3.56,0.11,0.04,6.16,"D.orena"
1.46,"Dosh",24.08,17.59,7.35,0,0,10.24,6.01,0.2,0.06,3.93,"D.oshimai"
0.01,"Dpac",0.73,0,0,0,0,0,0.71,0,0,0,"D.pachea"
0.98,"Dpal",13.15,5.75,1.84,0,0,3.91,7.14,0,0.12,1.53,"D.pallidifrons"
0.21,"Dparc",6.36,2.85,1.3,0,0,1.55,3.41,0.14,0.05,0.56,"D.paracracens"
0.99,"Dparm",10.76,4.86,0.83,0,0,4.04,5.71,0.06,0.04,0.84,"D.paramelanica"
1.49,"Dparn",16.92,7.68,1.98,0,0,5.71,9.12,0,0.04,2.32,"D.paranaensis"
3.72,"Dpar",38.54,30.81,12.44,0,0,18.37,4.92,0.59,0.21,8.35,"D.parabipectinata"
1.33,"Dpart",17.67,9.44,3.5,0,0,5.93,7.95,0.01,0.26,2.8,"D.parthenogenetica"
0.84,"Dpauc",12.47,9.25,3.26,0,0,5.99,3.18,0,0.32,2.2,"D.paucipuncta"
5.98,"Dpau",51.53,48.52,16.23,0,0,32.29,2.83,0.41,0.4,10.97,"D.paulistorum"
0.48,"Dpeg",9.47,4.52,1.79,0,0,2.73,4.84,0,0,0.14,"D.pegasa"
1.62,"Dpen",13.3,9.51,4.75,0,0,4.76,3.4,0.06,0.86,1.76,"D.peninsularis"
0.23,"Dperc",7.06,3.83,0.92,0,0,2.91,3.18,0,0.03,0.26,"D.percnosoma"
3.19,"Dper",33.41,30.69,12.75,0,0,17.93,2.62,0.28,0.31,7.95,"D.persimilis"
2.11,"Dpha",33.14,24.86,10.55,0,0,14.3,7.08,0.11,0.27,3.63,"D.phalerata"
0.29,"Dpic",6.09,3.08,0.65,0,0,2.42,2.98,0.16,0,0.43,"D.picticornis"
0.18,"Dpla",4.97,0.87,0.62,0,0,0.25,4,0,0.07,0.02,"D.planitibia"
3.64,"Dpro",29.15,20.59,6.43,0,0,14.16,8.2,0.27,0.44,7.38,"D.prosaltans"
3.42,"Dpru",24.9,21.79,13.71,0,0,8.07,3.01,0.05,0.48,4.76,"D.pruinosa"
2.85,"Dpsea_nig",33.48,29.04,13.01,0,0,16.03,4.27,0.72,0.06,6.84,"D.p.nigrens"
3.05,"Dpsea_pse",36.38,32.28,13.07,0,0,19.21,3.54,0.21,0.01,6.61,"D.p.pseudoananassae"
3.05,"Dpsea",36.16,30.4,14.33,0,0,16.07,5.25,0.18,0.08,6.48,"D.pseudoananassae"
1.54,"Dpse",20.5,17.14,5.92,0,0,11.22,3.19,0.16,0.26,4.39,"D.pseudoobscura"
2.64,"Dpseta",29.31,21.25,7.7,0,0,13.54,7.76,0.17,0.38,5.95,"D.pseudotakahashii"
0.21,"Dpul",4.96,0.94,0.63,0,0,0.31,3.98,0.05,0.14,0,"D.pullipes"
0.84,"Dput",9.11,3.19,0.5,0,0,2.68,5.7,0.2,0,0.47,"D.putrida"
2.49,"Dqua",32.98,28.73,9.6,0,0,19.13,3.53,0.16,0.19,3.62,"D.quadrilineata"
0.22,"Dquas",6,1.61,0.72,0,0,0.89,4.33,0,0.05,0.03,"D.quasianomalipes"
1.46,"Dqui",23.77,12.86,2.94,0,0,9.92,9.5,0.17,0.23,3.64,"D.quinaria"
1.41,"Drel",12.41,7.61,3.26,0,0,4.35,4.62,0.05,0,2.17,"D.rellima"
0.96,"Drepa",11.94,4.4,0.95,0,0,3.45,7.46,0,0.02,1.93,"D.repleta"
1.05,"Drepo",13.88,8.48,4.78,0,0,3.71,4.58,0.12,0,0.97,"D.repletoides"
3.09,"Drho",28.35,24.86,10.2,0,0,14.66,3.42,0.12,0.06,5.77,"D.rhopaloa"
0.84,"Drob",10.84,3.95,3,0,0,0.95,6.63,0.05,0.09,0.38,"D.robusta"
0.93,"Drub",5.71,2.23,0.6,0,0,1.62,3.33,0,0.01,0.62,"D.rubida"
1.8,"Druf",29.68,18.6,4.52,0,0,14.07,9.88,0.14,0.08,7.93,"D.rufa"
4.6,"Dsal",37.47,26.8,7.94,0,0,18.86,7.15,0.26,0.33,9.28,"D.saltans"
4.35,"Dsan",18.21,14.14,3.57,0,0,10.57,3.94,0.26,0.08,5.12,"D.santomea"
0.2,"Dsecl",5.25,1.77,0.74,0,0,1.04,3.41,0,0.03,0.23,"D.seclusa"
7.25,"Dsec",21.93,20.08,7.75,0,0,12.34,1.3,0,0.54,6.1,"D.sechellia"
1.93,"Dser",22.51,15.92,4.15,0,0,11.77,6.52,0.09,0.01,2.46,"D.serrata"
0.14,"Dseto",5.26,2.34,1.94,0,0,0.4,2.87,0.01,0.02,0.18,"D.setosimentum"
0.97,"Dsia",6.84,3.92,0.44,0,0,3.49,2.51,0,0.57,1.29,"D.siamana"
0.33,"Dsil",6.23,2.54,1.57,0,0,0.97,3.67,0,0.1,0.51,"D.silvestris"
2.76,"Dsim",12.44,11.06,6.41,0,0,4.65,1.21,0,0.41,2.05,"D.simulans"
0.25,"Dsord",6.63,3.46,1.43,0,0,2.03,3,0.13,0.13,0.89,"D.sordidapex"
1.5,"Dsor",14.81,8.67,5.57,0,0,3.1,6.05,0,0.03,1.45,"D.sordidula"
4.12,"Dsp_affcha",33,29.59,10.3,0,0,19.29,3.21,0.85,0.12,7.89,"D.sp.affchauvacae"
1.36,"Dsp_mus",5.68,2.88,1.77,0,0,1.11,2.45,0,0.06,0.52,"D.sp.mushsaotome"
0.26,"Dspr",5.74,2.29,1.04,0,0,1.24,3.42,0,0.07,0.42,"D.sproati"
0.81,"Dsta",8.43,4.69,3.76,0,0,0.93,3.57,0.02,0,0.63,"D.stalkeri"
2.35,"Dstu",15.87,9.52,3.24,0,0,6.28,6.22,0.09,0.26,2.5,"D.sturtevanti"
4.74,"Dsubp",41.44,35.26,12.35,0,0,22.91,5.41,0.39,1.22,8.88,"D.subpulchrella"
0.33,"Dsub",9,3.7,1.14,0,0,2.57,5.13,0.06,0,0.82,"D.subobscura"
0.94,"Dsubs",20.09,14.08,7.19,0,0,6.88,5.47,0,0.09,2.89,"D.subsilvestris"
1.62,"Dsuc",22.57,14.62,5.23,0,0,9.39,5.43,0.25,0.06,2.71,"D.sucinea"
1.09,"Dsulb",12.48,7.82,1.87,0,0,5.95,4.44,0.01,0.17,2.62,"D.sulfurigasterbilimbata"
1.18,"Dsul",13.51,10.32,2.39,0,0,7.94,3.08,0.12,0.14,3.14,"D.sulfurigasteralbostrigata"
1.06,"Dsuls",12.86,7.34,2.45,0,0,4.89,5.37,0,0.11,1.73,"D.sulfurigastersulfurigaster"
4.38,"Dsuz",39.68,35.78,11.69,0,0,24.09,3.83,0.52,0.15,12.32,"D.suzukii"
0.91,"Dtak",21.55,9.65,1.85,0,0,7.8,10.56,0.21,0.17,2.49,"D.takahashii"
0.73,"Dtany",10.3,6.66,1.95,0,0,4.71,3.63,0.01,0.06,2.56,"D.tanythrix"
