D.novamexicana,D.virilis,gypsy12
D.jambulina,D.birchii,gypsy12
D.fuyamai,D.suzukii,gypsy12
Z.capensis,Z.taronus,gypsy12
Z.vittiger,D.atripex,gypsy12
D.siamana,D.formosana,gypsy12
D.mettleri,D.peninsularis,gypsy12
D.biarmipes,D.monieri,gypsy12
D.falleni,D.kuntzei,gypsy12
D.willistoni,D.tropicalis,gypsy12
D.quinaria,D.phalerata,gypsy12
D.bocqueti,D.erecta,gypsy12
D.affinis,D.lowei,gypsy12
D.antonietae,D.buzzatii,gypsy12
D.kikkawai,D.yakuba,gypsy12
D.sucinea,D.austrosaltans,gypsy12
D.insularis,D.subobscura,gypsy12
Z.gabonicus,Z.indianus,gypsy12
D.rellima,D.kuntzei,gypsy12
D.orena,Z.taronus,gypsy2
Z.gabonicus,Z.ghesquierei,gypsy2
L.clarofinis,D.colorata,gypsy2
Z.taronus,D.orena,gypsy2
D.pruinosa,D.ercepeae,gypsy2
Z.tuberculatus,Z.tsacasi,gypsy2
D.colorata,L.clarofinis,gypsy2
Z.africanus,Z.camerounensis,gypsy2
S.pallida,D.littoralis,gypsy4
D.suzukii,D.mimetica,gypsy4
D.stalkeri,D.leonis,gypsy4
D.mojavensis,D.buzzatii,gypsy4
D.nasuta,D.kohkoa,gypsy4
D.orena,Z.ornatus,gypsy4
D.rhopaloa,D.biarmipes,gypsy4
D.ananassae,D.pseudoananassae,gypsy4
Z.camerounensis,Z.indianus,gypsy4
Z.davidi,Z.gabonicus,gypsy4
D.acutilabella,D.rellima,gypsy4
D.repletoides,D.gunungcola,gypsy4
C.fuscimana,D.parthenogenetica,gypsy4
D.parabipectinata,D.malerkotliana,gypsy4
Z.gabonicus,Z.davidi,gypsy4
Z.inermis,D.simulans,gypsy4
D.bipectinata,D.pseudoananassae,gypsy4
D.albomicans,D.pallidifrons,gypsy4
D.paulistorum,D.tropicalis,gypsy4
D.borealis,D.novamexicana,gypsy4
D.willistoni,D.insularis,gypsy4
D.biarmipes,D.rhopaloa,gypsy4
D.neotestacea,D.phalerata,gypsy4
D.innubila,D.quinaria,gypsy4
D.kuntzei,D.acutilabella,gypsy4
D.aldrichi,D.hamatofila,gypsy4
D.erecta,D.teissieri,gypsy4
Z.indianus,Z.camerounensis,gypsy4
D.insularis,D.sucinea,gypsy4
D.rellima,D.acutilabella,gypsy4
D.borborema,D.buzzatii,gypsy4
D.phalerata,D.neotestacea,gypsy4
D.mimetica,D.suzukii,gypsy4
D.jambulina,D.kikkawai,gypsy4
D.fuyamai,D.oshimai,gypsy4
D.gunungcola,D.bifasciata,gypsy4
Z.tsacasi,Z.taronus,gypsy4
D.quinaria,D.innubila,gypsy4
L.clarofinis,C.costata,gypsy5
D.virilis,Z.tuberculatus,gypsy5
D.fuyamai,D.suzukii,gypsy5
D.albomicans,D.siamana,gypsy5
D.peninsularis,D.willistoni,gypsy5
D.pseudotakahashii,D.oshimai,gypsy5
D.kuntzei,S.graminum,gypsy5
D.biarmipes,D.kikkawai,gypsy5
Z.africanus,Z.tuberculatus,gypsy5
D.acutilabella,D.kohkoa,gypsy5
D.azteca,L.clarofinis,gypsy5
D.maculinotata,D.borealis,gypsy5
D.birchii,D.tropicalis,gypsy5
D.sordidula,D.littoralis,gypsy5
D.testacea,D.elegans,gypsy5
D.pallidifrons,D.testacea,gypsy5
D.sechellia,D.vallismaia,gypsy5
D.gaucha,D.littoralis,gypsy5
Z.gabonicus,Z.vittiger,gypsy5
D.willistoni,D.nebulosa,gypsy5
D.funebris,D.quadrilineata,gypsy5
D.borealis,D.maculinotata,gypsy5
D.tropicalis,D.birchii,gypsy5
D.jambulina,D.ficusphila,gypsy5
D.kohkoa,D.acutilabella,gypsy5
D.bocqueti,D.serrata,gypsy5
D.santomea,D.simulans,gypsy5
D.paulistorum,D.emarginata,gypsy5
D.innubila,D.rellima,gypsy5
D.teissieri,Z.tuberculatus,gypsy5
D.serrata,D.triauraria,gypsy5
D.vallismaia,D.sechellia,gypsy5
D.rhopaloa,D.pseudotakahashii,gypsy5
D.kikkawai,D.biarmipes,gypsy5
D.simulans,D.mauritiana,gypsy5
D.sucinea,D.repleta,gypsy5
D.kikkawai,D.atripex,gypsy6
Z.davidi,Z.taronus,gypsy6
D.bunnanda,D.eugracilis,gypsy6
D.elegans,D.mimetica,gypsy6
D.macrospina,H.duncani,gypsy6
D.teissieri,D.sechellia,gypsy6
D.virilis,D.acutilabella,gypsy6
D.repletoides,D.sordidula,gypsy6
D.buzzatii,D.paulistorum,gypsy6
D.gunungcola,D.oshimai,gypsy6
D.azteca,D.cardini,gypsy6
